id,burst_time,priority,arrival_time,turnaround_time,cpu_time_acquired,waiting_time
1,18,-1,808,622761,18,622743
2,9,-5,932,488312,9,488303
3,8,0,243,630659,8,630651
4,6,1,99,659207,6,659201
5,7,-13,286,224562,7,224555
6,18,11,809,996727,18,996709
7,9,-11,482,291897,9,291888
8,7,-7,835,423501,7,423494
9,17,-1,485,620456,17,620439
10,18,3,966,749245,18,749227
11,10,-8,338,382606,10,382596
12,20,-2,141,586157,20,586137
13,13,11,277,992873,13,992860
14,5,14,397,1070590,5,1070585
15,17,0,181,649634,17,649617
16,11,11,329,993250,11,993239
17,12,11,713,995934,12,995922
18,10,11,941,988698,10,988688
19,14,-10,259,337003,14,336989
20,5,16,876,1143295,5,1143290
21,15,-5,737,496440,15,496425
22,12,4,302,775361,12,775349
23,13,-3,117,554632,13,554619
24,12,17,566,1182043,12,1182031
25,16,16,533,1150880,16,1150864
26,18,2,453,714027,18,714009
27,11,-20,704,28206,11,28195
28,17,-17,481,119052,17,119035
29,12,3,851,748254,12,748242
30,6,-10,969,333239,6,333233
31,15,19,578,1245532,15,1245517
32,8,-17,132,96162,8,96154
33,9,-1,621,607340,9,607331
34,13,12,895,1028833,13,1028820
35,19,17,315,1180325,19,1180306
36,9,5,961,802004,9,801995
37,8,13,393,1039164,8,1039156
38,5,0,429,634636,5,634631
39,14,1,911,686945,14,686931
40,13,18,168,1210294,13,1210281
41,16,-4,313,524528,16,524512
42,6,5,262,787146,6,787140
43,11,-3,855,560600,11,560589
44,12,-2,763,590828,12,590816
45,17,-2,106,585925,17,585908
46,20,-11,543,308108,20,308088
47,12,-2,109,585955,12,585943
48,16,10,896,966659,16,966643
49,9,17,98,1157328,9,1157319
50,12,16,915,1153669,12,1153657
51,14,-12,24,272666,14,272652
52,12,1,672,685129,12,685117
53,14,-7,499,432058,14,432044
54,17,16,798,1152828,17,1152811
55,17,-6,188,460609,17,460592
56,13,19,731,1246715,13,1246702
57,12,-3,665,559075,12,559063
58,13,-5,84,491513,13,491500
59,18,1,616,684692,18,684674
60,11,19,75,1241378,11,1241367
61,12,-6,455,462612,12,462600
62,6,16,189,1129193,6,1129187
63,9,-17,913,112833,9,112824
64,8,10,482,947715,8,947707
65,20,-14,808,215850,20,215830
66,5,12,944,1019903,5,1019898
67,10,-13,85,220184,10,220174
68,6,16,339,1132320,6,1132314
69,20,8,201,899541,20,899521
70,18,-5,207,492463,18,492445
71,20,-6,963,466414,20,466394
72,17,11,258,992685,17,992668
73,14,-19,46,54218,14,54204
74,9,16,11,1125408,9,1125399
75,12,13,994,1060574,12,1060562
76,20,-10,604,339576,20,339556
77,10,-18,705,77524,10,77514
78,13,-17,681,120611,13,120598
79,13,-11,313,306283,13,306270
80,18,3,238,743668,18,743650
81,16,11,184,992111,16,992095
82,11,16,657,1151812,11,1151801
83,13,-16,90,147553,13,147540
84,7,13,887,1049786,7,1049779
85,16,-8,117,398723,16,398707
86,20,5,955,810832,20,810812
87,20,15,648,1121537,20,1121517
88,17,14,240,1087290,17,1087273
89,11,-5,981,498232,11,498221
90,13,7,191,868380,13,868367
91,6,15,31,1095133,6,1095127
92,10,-6,972,457456,10,457446
93,13,-16,1000,154310,13,154297
94,6,14,843,1080719,6,1080713
95,17,-14,201,210854,17,210837
96,6,-8,264,381051,6,381045
97,7,-5,332,475463,7,475456
98,8,-14,977,207822,8,207814
99,11,-3,468,557359,11,557348
100,12,2,622,715201,12,715189
101,9,-8,95,377386,9,377377
102,18,-17,328,117900,18,117882
103,13,5,234,805560,13,805547
104,7,-17,70,94874,7,94867
105,20,18,845,1215111,20,1215091
106,5,18,846,1204639,5,1204634
107,10,-10,170,316370,10,316360
108,7,15,868,1112931,7,1112924
109,15,14,364,1088266,15,1088251
110,9,-15,863,173828,9,173819
111,12,0,979,655786,12,655774
112,10,-17,180,97201,10,97191
113,14,0,25,648407,14,648393
114,18,10,714,965362,18,965344
115,5,1,971,678163,5,678158
116,6,6,825,830850,6,830844
117,5,-3,688,545969,5,545964
118,13,2,588,714988,13,714975
119,15,13,100,1053964,15,1053949
120,15,6,236,837555,15,837540
121,7,7,201,849024,7,849017
122,9,-2,533,574031,9,574022
123,17,5,55,804241,17,804224
124,9,-17,724,108983,9,108974
125,12,19,871,1247843,12,1247831
126,14,-6,453,462594,14,462580
127,18,-9,723,372084,18,372066
128,18,9,209,930608,18,930590
129,6,6,438,822335,6,822329
