id,burst_time,priority,arrival_time,turnaround_time,cpu_time_acquired,waiting_time
1,7,17,0,0,0,0
2,20,-18,0,0,0,0
3,10,-4,0,0,0,0
4,13,18,0,0,0,0
5,14,12,0,0,0,0
6,15,16,0,0,0,0
7,8,18,0,0,0,0
8,8,1,0,0,0,0
9,13,-1,0,0,0,0
10,18,0,0,0,0,0
11,9,7,0,0,0,0
12,20,19,0,0,0,0
13,5,-17,0,0,0,0
14,5,6,0,0,0,0
15,8,-16,0,0,0,0
16,17,6,0,0,0,0
17,5,-6,0,0,0,0
18,8,13,0,0,0,0
19,10,16,0,0,0,0
20,10,-12,0,0,0,0
21,13,-14,0,0,0,0
22,7,18,0,0,0,0
23,17,18,0,0,0,0
24,15,-8,0,0,0,0
25,15,6,0,0,0,0
26,12,11,0,0,0,0
27,7,-10,0,0,0,0
28,13,14,0,0,0,0
29,13,-10,0,0,0,0
30,5,-4,0,0,0,0
31,17,-15,0,0,0,0
32,17,15,0,0,0,0
33,18,1,0,0,0,0
34,14,-2,0,0,0,0
35,17,7,0,0,0,0
36,15,-15,0,0,0,0
37,17,7,0,0,0,0
38,6,-11,0,0,0,0
39,10,14,0,0,0,0
40,20,-17,0,0,0,0
41,8,18,0,0,0,0
42,11,-3,0,0,0,0
43,13,14,0,0,0,0
44,9,-14,0,0,0,0
45,10,9,0,0,0,0
46,12,12,0,0,0,0
47,11,-20,0,0,0,0
48,11,-6,0,0,0,0
49,20,14,0,0,0,0
50,12,19,0,0,0,0
51,5,12,0,0,0,0
52,16,6,0,0,0,0
53,17,-16,0,0,0,0
54,10,-20,0,0,0,0
55,15,6,0,0,0,0
56,16,18,0,0,0,0
57,19,-11,0,0,0,0
58,15,18,0,0,0,0
59,8,-13,0,0,0,0
60,5,-7,0,0,0,0
61,17,11,0,0,0,0
62,17,-18,0,0,0,0
63,5,-6,0,0,0,0
64,16,10,0,0,0,0
65,8,6,0,0,0,0
66,6,-6,0,0,0,0
67,16,17,0,0,0,0
68,13,-18,0,0,0,0
69,20,8,0,0,0,0
70,18,-20,0,0,0,0
71,7,0,0,0,0,0
72,16,1,0,0,0,0
73,15,-13,0,0,0,0
74,9,6,0,0,0,0
75,20,18,0,0,0,0
76,7,15,0,0,0,0
77,8,-17,0,0,0,0
78,12,10,0,0,0,0
79,10,-4,0,0,0,0
80,17,-9,0,0,0,0
81,20,1,0,0,0,0
82,13,-14,0,0,0,0
83,10,16,0,0,0,0
84,20,12,0,0,0,0
85,13,6,0,0,0,0
86,13,-12,0,0,0,0
87,17,-10,0,0,0,0
88,7,-5,0,0,0,0
89,10,16,0,0,0,0
90,20,-6,0,0,0,0
91,18,-9,0,0,0,0
92,15,9,0,0,0,0
93,14,-18,0,0,0,0
94,17,-8,0,0,0,0
95,6,-5,0,0,0,0
96,6,-4,0,0,0,0
97,14,-19,0,0,0,0
98,14,-17,0,0,0,0
99,20,3,0,0,0,0
100,6,18,0,0,0,0
101,19,0,0,0,0,0
102,10,-20,0,0,0,0
103,17,16,0,0,0,0
104,18,1,0,0,0,0
105,13,2,0,0,0,0
106,8,-4,0,0,0,0
107,20,16,0,0,0,0
108,7,4,0,0,0,0
109,9,-19,0,0,0,0
110,16,-8,0,0,0,0
111,6,-11,0,0,0,0
112,18,-8,0,0,0,0
113,8,-1,0,0,0,0
114,12,-4,0,0,0,0
115,9,4,0,0,0,0
116,19,-17,0,0,0,0
117,6,5,0,0,0,0
118,8,5,0,0,0,0
119,19,-3,0,0,0,0
120,17,18,0,0,0,0
121,6,-15,0,0,0,0
122,6,14,0,0,0,0
123,8,10,0,0,0,0
124,13,-6,0,0,0,0
125,14,-5,0,0,0,0
126,20,-8,0,0,0,0
127,5,-4,0,0,0,0
128,9,-6,0,0,0,0
129,16,14,0,0,0,0
130,10,15,0,0,0,0
131,19,-19,0,0,0,0
132,14,19,0,0,0,0
133,9,-1,0,0,0,0
134,13,-15,0,0,0,0
135,20,17,0,0,0,0
136,20,19,0,0,0,0
137,12,12,0,0,0,0
138,20,11,0,0,0,0
139,13,3,0,0,0,0
140,16,-20,0,0,0,0
141,7,14,0,0,0,0
142,20,9,0,0,0,0
143,9,1,0,0,0,0
144,18,-2,0,0,0,0
145,16,-12,0,0,0,0
146,20,-12,0,0,0,0
147,9,1,0,0,0,0
148,19,16,0,0,0,0
149,13,-18,0,0,0,0
150,16,-14,0,0,0,0
151,5,2,0,0,0,0
152,9,6,0,0,0,0
153,18,3,0,0,0,0
154,10,-2,0,0,0,0
155,15,0,0,0,0,0
156,19,8,0,0,0,0
157,7,10,0,0,0,0
158,16,-5,0,0,0,0
159,5,6,0,0,0,0
160,18,-7,0,0,0,0
161,12,19,0,0,0,0
162,18,-3,0,0,0,0
163,16,4,0,0,0,0
164,14,-8,0,0,0,0
165,14,-16,0,0,0,0
166,18,-1,0,0,0,0
167,9,-15,0,0,0,0
168,13,-14,0,0,0,0
169,9,3,0,0,0,0
170,9,-18,0,0,0,0
171,14,5,0,0,0,0
172,16,13,0,0,0,0
173,20,-13,0,0,0,0
174,13,9,0,0,0,0
175,9,17,0,0,0,0
176,7,-5,0,0,0,0
177,14,14,0,0,0,0
178,9,-14,0,0,0,0
179,9,12,0,0,0,0
180,5,-13,0,0,0,0
181,14,9,0,0,0,0
182,12,13,0,0,0,0
183,15,-1,0,0,0,0
184,16,-14,0,0,0,0
185,16,19,0,0,0,0
186,18,-17,0,0,0,0
187,13,-18,0,0,0,0
188,17,-16,0,0,0,0
189,16,14,0,0,0,0
190,19,16,0,0,0,0
191,20,-6,0,0,0,0
192,11,19,0,0,0,0
193,5,19,0,0,0,0
194,19,17,0,0,0,0
195,20,19,0,0,0,0
196,15,-3,0,0,0,0
197,10,6,0,0,0,0
198,10,-9,0,0,0,0
199,20,9,0,0,0,0
200,20,13,0,0,0,0
201,16,-8,0,0,0,0
202,12,15,0,0,0,0
203,14,15,0,0,0,0
204,6,-3,0,0,0,0
205,19,-5,0,0,0,0
206,9,6,0,0,0,0
207,19,-12,0,0,0,0
208,8,11,0,0,0,0
209,10,-2,0,0,0,0
210,6,-2,0,0,0,0
211,7,-20,0,0,0,0
212,6,2,0,0,0,0
213,16,-14,0,0,0,0
214,11,9,0,0,0,0
215,5,16,0,0,0,0
216,6,17,0,0,0,0
217,16,-5,0,0,0,0
218,17,-8,0,0,0,0
219,8,-15,0,0,0,0
220,8,-6,0,0,0,0
221,20,10,0,0,0,0
222,16,-15,0,0,0,0
223,17,4,0,0,0,0
224,10,-6,0,0,0,0
225,5,8,0,0,0,0
226,19,14,0,0,0,0
227,9,10,0,0,0,0
228,20,17,0,0,0,0
229,9,-20,0,0,0,0
230,7,15,0,0,0,0
231,9,11,0,0,0,0
232,12,-13,0,0,0,0
233,11,10,0,0,0,0
234,14,12,0,0,0,0
235,18,-6,0,0,0,0
236,11,-8,0,0,0,0
237,18,17,0,0,0,0
238,5,14,0,0,0,0
239,10,-6,0,0,0,0
240,18,10,0,0,0,0
241,18,-14,0,0,0,0
242,5,17,0,0,0,0
243,12,19,0,0,0,0
244,10,-17,0,0,0,0
245,8,-9,0,0,0,0
246,11,4,0,0,0,0
247,13,16,0,0,0,0
248,9,10,0,0,0,0
249,15,-16,0,0,0,0
250,8,19,0,0,0,0
251,13,11,0,0,0,0
252,12,17,0,0,0,0
253,13,16,0,0,0,0
254,14,17,0,0,0,0
255,16,-13,0,0,0,0
256,10,-4,0,0,0,0
257,19,-6,0,0,0,0
258,10,-15,0,0,0,0
259,8,-17,0,0,0,0
260,15,3,0,0,0,0
261,8,-13,0,0,0,0
262,20,-3,0,0,0,0
263,20,-8,0,0,0,0
264,8,-16,0,0,0,0
265,19,-16,0,0,0,0
266,19,-5,0,0,0,0
267,6,9,0,0,0,0
268,8,-1,0,0,0,0
269,17,-7,0,0,0,0
270,13,-15,0,0,0,0
271,5,8,0,0,0,0
272,20,7,0,0,0,0
273,6,-4,0,0,0,0
274,12,2,0,0,0,0
275,13,9,0,0,0,0
276,18,-7,0,0,0,0
277,10,2,0,0,0,0
278,14,6,0,0,0,0
279,20,-11,0,0,0,0
280,17,11,0,0,0,0
281,18,5,0,0,0,0
282,19,15,0,0,0,0
283,15,-10,0,0,0,0
284,12,-17,0,0,0,0
285,16,18,0,0,0,0
286,20,-11,0,0,0,0
287,7,0,0,0,0,0
288,19,15,0,0,0,0
289,17,10,0,0,0,0
290,19,2,0,0,0,0
291,18,-7,0,0,0,0
292,13,9,0,0,0,0
293,7,16,0,0,0,0
294,18,5,0,0,0,0
295,19,-7,0,0,0,0
296,19,7,0,0,0,0
297,10,-7,0,0,0,0
298,8,-7,0,0,0,0
299,15,-11,0,0,0,0
300,14,15,0,0,0,0
301,17,17,0,0,0,0
302,13,16,0,0,0,0
303,19,-16,0,0,0,0
304,17,-1,0,0,0,0
305,9,5,0,0,0,0
306,5,-6,0,0,0,0
307,20,-2,0,0,0,0
308,17,-17,0,0,0,0
309,11,5,0,0,0,0
310,19,-5,0,0,0,0
311,19,16,0,0,0,0
312,7,-6,0,0,0,0
313,13,-4,0,0,0,0
314,15,-18,0,0,0,0
315,6,-3,0,0,0,0
316,8,-13,0,0,0,0
317,19,5,0,0,0,0
318,10,-20,0,0,0,0
319,9,3,0,0,0,0
320,6,17,0,0,0,0
321,15,-14,0,0,0,0
322,8,2,0,0,0,0
323,11,1,0,0,0,0
324,9,-20,0,0,0,0
325,16,-6,0,0,0,0
326,17,-6,0,0,0,0
327,12,11,0,0,0,0
328,19,2,0,0,0,0
329,15,-9,0,0,0,0
330,5,16,0,0,0,0
331,7,-7,0,0,0,0
332,12,1,0,0,0,0
333,10,-4,0,0,0,0
334,8,6,0,0,0,0
335,9,11,0,0,0,0
336,17,15,0,0,0,0
337,18,-2,0,0,0,0
338,9,0,0,0,0,0
339,13,-12,0,0,0,0
340,8,-6,0,0,0,0
341,8,3,0,0,0,0
342,5,-6,0,0,0,0
343,8,-18,0,0,0,0
344,12,-2,0,0,0,0
345,19,7,0,0,0,0
346,6,12,0,0,0,0
347,11,2,0,0,0,0
348,8,3,0,0,0,0
349,15,0,0,0,0,0
350,12,13,0,0,0,0
351,10,-1,0,0,0,0
352,20,-20,0,0,0,0
353,9,6,0,0,0,0
354,13,0,0,0,0,0
355,12,1,0,0,0,0
356,11,0,0,0,0,0
357,6,-15,0,0,0,0
358,12,5,0,0,0,0
359,12,19,0,0,0,0
360,14,1,0,0,0,0
361,10,-4,0,0,0,0
362,13,-1,0,0,0,0
363,5,5,0,0,0,0
364,18,-20,0,0,0,0
365,8,-2,0,0,0,0
366,17,-12,0,0,0,0
367,11,-17,0,0,0,0
368,20,-10,0,0,0,0
369,17,-11,0,0,0,0
370,15,3,0,0,0,0
371,5,13,0,0,0,0
372,15,6,0,0,0,0
373,12,8,0,0,0,0
374,5,-12,0,0,0,0
375,7,8,0,0,0,0
376,12,-6,0,0,0,0
377,10,5,0,0,0,0
378,13,-8,0,0,0,0
379,11,-3,0,0,0,0
380,15,10,0,0,0,0
381,10,7,0,0,0,0
382,20,-18,0,0,0,0
383,19,9,0,0,0,0
384,7,8,0,0,0,0
385,18,19,0,0,0,0
386,11,-5,0,0,0,0
387,15,-11,0,0,0,0
388,13,10,0,0,0,0
389,17,1,0,0,0,0
390,10,-5,0,0,0,0
391,18,-19,0,0,0,0
392,5,-18,0,0,0,0
393,17,15,0,0,0,0
394,7,-17,0,0,0,0
395,7,7,0,0,0,0
396,6,-16,0,0,0,0
397,19,-13,0,0,0,0
398,9,18,0,0,0,0
399,7,-16,0,0,0,0
400,10,14,0,0,0,0
401,7,-3,0,0,0,0
402,6,-12,0,0,0,0
403,14,-9,0,0,0,0
404,12,13,0,0,0,0
405,9,9,0,0,0,0
406,14,8,0,0,0,0
407,7,1,0,0,0,0
408,10,-17,0,0,0,0
409,17,-13,0,0,0,0
410,7,-5,0,0,0,0
411,16,-12,0,0,0,0
412,12,1,0,0,0,0
413,18,5,0,0,0,0
414,5,-9,0,0,0,0
415,8,-3,0,0,0,0
416,18,8,0,0,0,0
417,9,-12,0,0,0,0
418,11,0,0,0,0,0
419,9,1,0,0,0,0
420,18,-7,0,0,0,0
421,5,15,0,0,0,0
422,9,-8,0,0,0,0
423,6,-17,0,0,0,0
424,6,-8,0,0,0,0
425,14,-20,0,0,0,0
426,20,0,0,0,0,0
427,5,-1,0,0,0,0
428,19,17,0,0,0,0
429,12,-12,0,0,0,0
430,5,18,0,0,0,0
431,16,14,0,0,0,0
432,11,-19,0,0,0,0
433,15,11,0,0,0,0
434,18,-7,0,0,0,0
435,15,-14,0,0,0,0
436,20,-20,0,0,0,0
437,14,-11,0,0,0,0
438,10,-2,0,0,0,0
439,12,-16,0,0,0,0
440,16,-13,0,0,0,0
441,15,1,0,0,0,0
442,9,-18,0,0,0,0
443,5,-15,0,0,0,0
444,11,-9,0,0,0,0
445,9,-14,0,0,0,0
446,14,-2,0,0,0,0
447,19,-19,0,0,0,0
448,11,9,0,0,0,0
449,20,3,0,0,0,0
450,6,-4,0,0,0,0
451,14,-18,0,0,0,0
452,16,-18,0,0,0,0
453,7,-4,0,0,0,0
454,10,-7,0,0,0,0
455,9,5,0,0,0,0
456,17,6,0,0,0,0
457,9,4,0,0,0,0
458,18,17,0,0,0,0
459,15,-4,0,0,0,0
460,20,-20,0,0,0,0
461,13,13,0,0,0,0
462,9,-5,0,0,0,0
463,13,14,0,0,0,0
464,12,17,0,0,0,0
465,12,16,0,0,0,0
466,11,19,0,0,0,0
467,8,16,0,0,0,0
468,6,-14,0,0,0,0
469,16,19,0,0,0,0
470,6,16,0,0,0,0
471,10,6,0,0,0,0
472,9,0,0,0,0,0
473,14,11,0,0,0,0
474,15,3,0,0,0,0
475,10,10,0,0,0,0
476,5,-18,0,0,0,0
477,7,2,0,0,0,0
478,19,18,0,0,0,0
479,14,-17,0,0,0,0
480,10,-7,0,0,0,0
481,8,-9,0,0,0,0
482,19,12,0,0,0,0
483,20,-15,0,0,0,0
484,9,-8,0,0,0,0
485,18,1,0,0,0,0
486,19,-8,0,0,0,0
487,15,-20,0,0,0,0
488,18,17,0,0,0,0
489,14,-11,0,0,0,0
490,19,-10,0,0,0,0
491,10,5,0,0,0,0
492,9,-14,0,0,0,0
